#feasibility_check.csv
#Raphael
#Harm
#12527184
group,number,dimension,isFeasible,duration
feasibilityMatrMult,0,500,true,1989500
feasibilityMatrMult,1,500,true,349100
feasibilityMatrMult,2,500,true,341800
feasibilityMatrMult,3,500,true,342200
feasibilityMatrMult,4,500,true,80800
feasibilityMatrMult,5,500,false,65100
feasibilityMatrMult,6,500,false,114100
feasibilityMatrMult,7,500,false,31500
feasibilityMatrMult,8,500,false,631600
feasibilityMatrMult,9,500,false,80800
feasibilityMatrMult,10,750,true,123100
feasibilityMatrMult,11,750,true,92800
feasibilityMatrMult,12,750,true,36100
feasibilityMatrMult,13,750,true,29800
feasibilityMatrMult,14,750,true,30800
feasibilityMatrMult,15,750,false,14500
feasibilityMatrMult,16,750,false,54200
feasibilityMatrMult,17,750,false,1700
feasibilityMatrMult,18,750,false,21400
feasibilityMatrMult,19,750,false,21900
feasibilityMatrMult,20,1000,true,55800
feasibilityMatrMult,21,1000,true,59300
feasibilityMatrMult,22,1000,true,72000
feasibilityMatrMult,23,1000,true,101800
feasibilityMatrMult,24,1000,true,92700
feasibilityMatrMult,25,1000,false,31900
feasibilityMatrMult,26,1000,false,29800
feasibilityMatrMult,27,1000,false,8900
feasibilityMatrMult,28,1000,false,26500
feasibilityMatrMult,29,1000,false,122600
feasibilityMatrMult,30,1250,true,146900
feasibilityMatrMult,31,1250,true,117500
feasibilityMatrMult,32,1250,true,119500
feasibilityMatrMult,33,1250,true,86600
feasibilityMatrMult,34,1250,true,111500
feasibilityMatrMult,35,1250,false,111200
feasibilityMatrMult,36,1250,false,22600
feasibilityMatrMult,37,1250,false,95400
feasibilityMatrMult,38,1250,false,120300
feasibilityMatrMult,39,1250,false,41900
feasibilityMatrMult,40,1500,true,234400
feasibilityMatrMult,41,1500,true,340600
feasibilityMatrMult,42,1500,true,436700
feasibilityMatrMult,43,1500,true,184900
feasibilityMatrMult,44,1500,true,480300
feasibilityMatrMult,45,1500,false,15500
feasibilityMatrMult,46,1500,false,6600
feasibilityMatrMult,47,1500,false,55000
feasibilityMatrMult,48,1500,false,21800
feasibilityMatrMult,49,1500,false,87800
feasibilityMatrMult,50,1750,true,378200
feasibilityMatrMult,51,1750,true,357700
feasibilityMatrMult,52,1750,true,335300
feasibilityMatrMult,53,1750,true,649500
feasibilityMatrMult,54,1750,true,447600
feasibilityMatrMult,55,1750,false,75300
feasibilityMatrMult,56,1750,false,346800
feasibilityMatrMult,57,1750,false,230100
feasibilityMatrMult,58,1750,false,678800
feasibilityMatrMult,59,1750,false,196700
