#abgabe.csv
#Raphael
#Harm
#12527184
group,number,n,k,objectiveFunctionValue,duration,graphName
objcnfval,0,12,2,12,382400,barbell_5_2.gr
objcnfval,1,12,3,6,26700,barbell_5_2.gr
objcnfval,2,12,4,3,26200,barbell_5_2.gr
objcnfval,3,14,2,16,31200,barbell_6_2.gr
objcnfval,4,14,3,9,28900,barbell_6_2.gr
objcnfval,5,14,4,7,59600,barbell_6_2.gr
objcnfval,6,13,2,13,28500,barbell_5_3.gr
objcnfval,7,13,3,6,42700,barbell_5_3.gr
objcnfval,8,13,4,6,29200,barbell_5_3.gr
objcnfval,9,15,2,15,30900,barbell_6_3.gr
objcnfval,10,15,3,16,26200,barbell_6_3.gr
objcnfval,11,15,4,11,30500,barbell_6_3.gr
objcnfval,12,9,2,8,19800,windmill_5_2.gr
objcnfval,13,9,3,10,26000,windmill_5_2.gr
objcnfval,14,9,4,7,38500,windmill_5_2.gr
objcnfval,15,11,2,12,27300,windmill_6_2.gr
objcnfval,16,11,3,8,25600,windmill_6_2.gr
objcnfval,17,11,4,6,19900,windmill_6_2.gr
objcnfval,18,13,2,14,29000,windmill_5_3.gr
objcnfval,19,13,3,7,18500,windmill_5_3.gr
objcnfval,20,13,4,7,17400,windmill_5_3.gr
objcnfval,21,16,2,24,33600,windmill_6_3.gr
objcnfval,22,16,3,17,23500,windmill_6_3.gr
objcnfval,23,16,4,15,27100,windmill_6_3.gr
objcnfval,24,5,2,5,16600,apollonian_2.gr
objcnfval,25,5,3,3,11900,apollonian_2.gr
objcnfval,26,5,4,2,15600,apollonian_2.gr
objcnfval,27,6,2,5,20700,apollonian_3.gr
objcnfval,28,6,3,1,13600,apollonian_3.gr
objcnfval,29,6,4,6,21800,apollonian_3.gr
objcnfval,30,7,2,8,18400,apollonian_4.gr
objcnfval,31,7,3,5,17100,apollonian_4.gr
objcnfval,32,7,4,4,14000,apollonian_4.gr
objcnfval,33,8,2,8,17300,apollonian_5.gr
objcnfval,34,8,3,6,17300,apollonian_5.gr
objcnfval,35,8,4,3,13600,apollonian_5.gr
objcnfval,36,20,2,32,25000,make_ravasz_barabasi_5_2.gr
objcnfval,37,20,3,15,24800,make_ravasz_barabasi_5_2.gr
objcnfval,38,20,4,14,24800,make_ravasz_barabasi_5_2.gr
objcnfval,39,24,2,44,48400,make_ravasz_barabasi_6_2.gr
objcnfval,40,24,3,29,39200,make_ravasz_barabasi_6_2.gr
objcnfval,41,24,4,24,43600,make_ravasz_barabasi_6_2.gr
objcnfval,42,40,2,75,45000,make_ravasz_barabasi_5_3.gr
objcnfval,43,40,3,43,53800,make_ravasz_barabasi_5_3.gr
objcnfval,44,40,4,32,43600,make_ravasz_barabasi_5_3.gr
objcnfval,45,48,2,102,90600,make_ravasz_barabasi_6_3.gr
objcnfval,46,48,3,79,85500,make_ravasz_barabasi_6_3.gr
objcnfval,47,48,4,53,85500,make_ravasz_barabasi_6_3.gr
objcnfval,48,52,2,296,228200,barbell_25_2.gr
objcnfval,49,52,3,196,154700,barbell_25_2.gr
objcnfval,50,52,4,163,234200,barbell_25_2.gr
objcnfval,51,62,2,430,341000,barbell_30_2.gr
objcnfval,52,62,3,298,347500,barbell_30_2.gr
objcnfval,53,62,4,204,310300,barbell_30_2.gr
objcnfval,54,53,2,294,235400,barbell_25_3.gr
objcnfval,55,53,3,191,201000,barbell_25_3.gr
objcnfval,56,53,4,140,153700,barbell_25_3.gr
objcnfval,57,63,2,431,475300,barbell_30_3.gr
objcnfval,58,63,3,285,392600,barbell_30_3.gr
objcnfval,59,63,4,220,1600000,barbell_30_3.gr
objcnfval,60,49,2,294,202100,windmill_25_2.gr
objcnfval,61,49,3,210,205100,windmill_25_2.gr
objcnfval,62,49,4,149,198700,windmill_25_2.gr
objcnfval,63,59,2,437,664700,windmill_30_2.gr
objcnfval,64,59,3,287,227800,windmill_30_2.gr
objcnfval,65,59,4,227,232400,windmill_30_2.gr
objcnfval,66,73,2,438,313100,windmill_25_3.gr
objcnfval,67,73,3,322,239800,windmill_25_3.gr
objcnfval,68,73,4,244,231100,windmill_25_3.gr
objcnfval,69,88,2,647,1942600,windmill_30_3.gr
objcnfval,70,88,3,446,350800,windmill_30_3.gr
objcnfval,71,88,4,312,343300,windmill_30_3.gr
objcnfval,72,53,2,76,54900,apollonian_50.gr
