#instances_small.csv
#Raphael
#Harm
#12527184
group,number,n,k,objectiveFunctionValue,duration,graphName
greedy1,0,12,2,9,3347900,barbell_3_2.gr
greedy1,1,12,3,4,123900,barbell_3_2.gr
greedy1,2,12,4,2,147500,barbell_3_2.gr
greedy1,3,12,2,9,131200,barbell_4_2.gr
greedy1,4,12,3,4,155800,barbell_4_2.gr
greedy1,5,12,4,2,115800,barbell_4_2.gr
greedy1,6,12,2,9,161500,barbell_5_2.gr
greedy1,7,12,3,4,97700,barbell_5_2.gr
greedy1,8,12,4,2,104100,barbell_5_2.gr
greedy1,9,14,2,13,152900,barbell_6_2.gr
greedy1,10,14,3,6,98800,barbell_6_2.gr
greedy1,11,14,4,4,91400,barbell_6_2.gr
greedy1,12,13,2,8,131400,barbell_5_3.gr
greedy1,13,13,3,4,91600,barbell_5_3.gr
greedy1,14,13,4,2,86500,barbell_5_3.gr
greedy1,15,15,2,12,124500,barbell_6_3.gr
greedy1,16,15,3,6,76100,barbell_6_3.gr
greedy1,17,15,4,4,112300,barbell_6_3.gr
greedy1,18,9,2,8,58700,windmill_5_2.gr
greedy1,19,9,3,4,52300,windmill_5_2.gr
greedy1,20,9,4,2,42400,windmill_5_2.gr
greedy1,21,11,2,12,58900,windmill_6_2.gr
greedy1,22,11,3,6,49200,windmill_6_2.gr
greedy1,23,11,4,4,46800,windmill_6_2.gr
greedy1,24,13,2,12,79000,windmill_5_3.gr
greedy1,25,13,3,6,48600,windmill_5_3.gr
greedy1,26,13,4,3,50300,windmill_5_3.gr
greedy1,27,16,2,18,75400,windmill_6_3.gr
greedy1,28,16,3,9,101900,windmill_6_3.gr
greedy1,29,16,4,6,62300,windmill_6_3.gr
greedy1,30,5,2,3,57700,apollonian_2.gr
greedy1,31,5,3,2,48500,apollonian_2.gr
greedy1,32,5,4,0,37100,apollonian_2.gr
greedy1,33,6,2,4,78600,apollonian_3.gr
greedy1,34,6,3,2,35600,apollonian_3.gr
greedy1,35,6,4,0,30300,apollonian_3.gr
greedy1,36,7,2,5,33900,apollonian_4.gr
greedy1,37,7,3,2,32400,apollonian_4.gr
greedy1,38,7,4,0,44400,apollonian_4.gr
greedy1,39,8,2,6,35900,apollonian_5.gr
greedy1,40,8,3,3,47400,apollonian_5.gr
greedy1,41,8,4,0,38900,apollonian_5.gr
greedy1,42,20,2,25,97600,make_ravasz_barabasi_5_2.gr
greedy1,43,20,3,13,95700,make_ravasz_barabasi_5_2.gr
greedy1,44,20,4,8,94500,make_ravasz_barabasi_5_2.gr
greedy1,45,24,2,36,94500,make_ravasz_barabasi_6_2.gr
greedy1,46,24,3,20,81000,make_ravasz_barabasi_6_2.gr
greedy1,47,24,4,12,84100,make_ravasz_barabasi_6_2.gr
greedy1,48,40,2,59,189700,make_ravasz_barabasi_5_3.gr
greedy1,49,40,3,33,197800,make_ravasz_barabasi_5_3.gr
greedy1,50,40,4,20,216300,make_ravasz_barabasi_5_3.gr
greedy1,51,48,2,83,192400,make_ravasz_barabasi_6_3.gr
greedy1,52,48,3,48,158700,make_ravasz_barabasi_6_3.gr
greedy1,53,48,4,29,255800,make_ravasz_barabasi_6_3.gr
greedy2,54,12,2,13,665100,barbell_3_2.gr
greedy2,55,12,3,6,48600,barbell_3_2.gr
greedy2,56,12,4,2,52000,barbell_3_2.gr
greedy2,57,12,2,13,56100,barbell_4_2.gr
greedy2,58,12,3,6,55600,barbell_4_2.gr
greedy2,59,12,4,2,87400,barbell_4_2.gr
greedy2,60,12,2,13,55800,barbell_5_2.gr
greedy2,61,12,3,6,45100,barbell_5_2.gr
greedy2,62,12,4,2,47500,barbell_5_2.gr
greedy2,63,14,2,21,83300,barbell_6_2.gr
greedy2,64,14,3,12,88600,barbell_6_2.gr
greedy2,65,14,4,6,82700,barbell_6_2.gr
greedy2,66,13,2,12,112200,barbell_5_3.gr
greedy2,67,13,3,6,60300,barbell_5_3.gr
greedy2,68,13,4,2,56300,barbell_5_3.gr
greedy2,69,15,2,20,85400,barbell_6_3.gr
greedy2,70,15,3,12,87400,barbell_6_3.gr
greedy2,71,15,4,6,77600,barbell_6_3.gr
greedy2,72,9,2,12,40400,windmill_5_2.gr
greedy2,73,9,3,6,36300,windmill_5_2.gr
greedy2,74,9,4,2,34300,windmill_5_2.gr
greedy2,75,11,2,20,45600,windmill_6_2.gr
greedy2,76,11,3,12,66200,windmill_6_2.gr
greedy2,77,11,4,6,56600,windmill_6_2.gr
greedy2,78,13,2,18,60700,windmill_5_3.gr
greedy2,79,13,3,9,49400,windmill_5_3.gr
greedy2,80,13,4,3,52500,windmill_5_3.gr
greedy2,81,16,2,30,68300,windmill_6_3.gr
greedy2,82,16,3,18,59500,windmill_6_3.gr
greedy2,83,16,4,9,72300,windmill_6_3.gr
greedy2,84,5,2,5,66100,apollonian_2.gr
greedy2,85,5,3,2,35700,apollonian_2.gr
greedy2,86,5,4,0,58300,apollonian_2.gr
greedy2,87,6,2,7,46100,apollonian_3.gr
greedy2,88,6,3,2,40200,apollonian_3.gr
greedy2,89,6,4,0,29600,apollonian_3.gr
greedy2,90,7,2,7,32900,apollonian_4.gr
greedy2,91,7,3,2,37700,apollonian_4.gr
greedy2,92,7,4,0,28000,apollonian_4.gr
greedy2,93,8,2,9,31100,apollonian_5.gr
greedy2,94,8,3,3,36000,apollonian_5.gr
greedy2,95,8,4,0,32900,apollonian_5.gr
greedy2,96,20,2,41,71300,make_ravasz_barabasi_5_2.gr
greedy2,97,20,3,25,62200,make_ravasz_barabasi_5_2.gr
greedy2,98,20,4,13,108600,make_ravasz_barabasi_5_2.gr
greedy2,99,24,2,61,91500,make_ravasz_barabasi_6_2.gr
greedy2,100,24,3,41,115700,make_ravasz_barabasi_6_2.gr
greedy2,101,24,4,25,104600,make_ravasz_barabasi_6_2.gr
greedy2,102,40,2,100,208800,make_ravasz_barabasi_5_3.gr
greedy2,103,40,3,66,247400,make_ravasz_barabasi_5_3.gr
greedy2,104,40,4,38,179000,make_ravasz_barabasi_5_3.gr
greedy2,105,48,2,144,191200,make_ravasz_barabasi_6_3.gr
greedy2,106,48,3,102,317600,make_ravasz_barabasi_6_3.gr
greedy2,107,48,4,66,253400,make_ravasz_barabasi_6_3.gr
greedy3,108,12,2,8,5127200,barbell_3_2.gr
greedy3,109,12,3,4,4011400,barbell_3_2.gr
greedy3,110,12,4,2,3265600,barbell_3_2.gr
greedy3,111,12,2,8,2169700,barbell_4_2.gr
greedy3,112,12,3,4,2104000,barbell_4_2.gr
greedy3,113,12,4,2,2487300,barbell_4_2.gr
greedy3,114,12,2,8,1222100,barbell_5_2.gr
greedy3,115,12,3,4,1462800,barbell_5_2.gr
greedy3,116,12,4,2,1956100,barbell_5_2.gr
greedy3,117,14,2,12,1664200,barbell_6_2.gr
greedy3,118,14,3,6,2331300,barbell_6_2.gr
greedy3,119,14,4,4,3698000,barbell_6_2.gr
greedy3,120,13,2,8,1230800,barbell_5_3.gr
greedy3,121,13,3,4,1764300,barbell_5_3.gr
greedy3,122,13,4,2,3498200,barbell_5_3.gr
greedy3,123,15,2,12,1917800,barbell_6_3.gr
greedy3,124,15,3,6,3189200,barbell_6_3.gr
greedy3,125,15,4,4,5523000,barbell_6_3.gr
greedy3,126,9,2,8,531300,windmill_5_2.gr
greedy3,127,9,3,4,595700,windmill_5_2.gr
greedy3,128,9,4,2,911800,windmill_5_2.gr
greedy3,129,11,2,12,832900,windmill_6_2.gr
greedy3,130,11,3,6,1257000,windmill_6_2.gr
greedy3,131,11,4,4,1616900,windmill_6_2.gr
