#violation_counting.csv
#Raphael
#Harm
#12527184
group,number,n,k,objectiveFunctionValue,duration,graphName
objcnfval,0,12,2,12,392199,barbell_5_2.gr
objcnfval,1,12,3,6,27900,barbell_5_2.gr
objcnfval,2,12,4,3,41201,barbell_5_2.gr
objcnfval,3,14,2,16,36500,barbell_6_2.gr
objcnfval,4,14,3,9,31001,barbell_6_2.gr
objcnfval,5,14,4,7,54399,barbell_6_2.gr
objcnfval,6,13,2,13,44301,barbell_5_3.gr
objcnfval,7,13,3,6,33700,barbell_5_3.gr
objcnfval,8,13,4,6,23400,barbell_5_3.gr
objcnfval,9,15,2,15,36300,barbell_6_3.gr
objcnfval,10,15,3,16,37500,barbell_6_3.gr
objcnfval,11,15,4,11,29599,barbell_6_3.gr
objcnfval,12,9,2,8,19600,windmill_5_2.gr
objcnfval,13,9,3,10,18299,windmill_5_2.gr
objcnfval,14,9,4,7,18500,windmill_5_2.gr
objcnfval,15,11,2,12,59500,windmill_6_2.gr
objcnfval,16,11,3,8,25500,windmill_6_2.gr
objcnfval,17,11,4,6,33001,windmill_6_2.gr
objcnfval,18,13,2,14,21299,windmill_5_3.gr
objcnfval,19,13,3,7,19501,windmill_5_3.gr
objcnfval,20,13,4,7,18500,windmill_5_3.gr
objcnfval,21,16,2,24,22700,windmill_6_3.gr
objcnfval,22,16,3,17,20900,windmill_6_3.gr
objcnfval,23,16,4,15,21201,windmill_6_3.gr
objcnfval,24,5,2,5,17300,apollonian_2.gr
objcnfval,25,5,3,3,17800,apollonian_2.gr
objcnfval,26,5,4,2,14600,apollonian_2.gr
objcnfval,27,6,2,5,16200,apollonian_3.gr
objcnfval,28,6,3,1,13800,apollonian_3.gr
objcnfval,29,6,4,6,29999,apollonian_3.gr
objcnfval,30,7,2,8,21800,apollonian_4.gr
objcnfval,31,7,3,5,25499,apollonian_4.gr
objcnfval,32,7,4,4,13201,apollonian_4.gr
objcnfval,33,8,2,8,15000,apollonian_5.gr
objcnfval,34,8,3,6,15400,apollonian_5.gr
objcnfval,35,8,4,3,15100,apollonian_5.gr
objcnfval,36,20,2,32,34000,make_ravasz_barabasi_5_2.gr
objcnfval,37,20,3,15,25200,make_ravasz_barabasi_5_2.gr
objcnfval,38,20,4,14,25200,make_ravasz_barabasi_5_2.gr
objcnfval,39,24,2,44,31000,make_ravasz_barabasi_6_2.gr
